"","WKT","ID","NAME","NAME_EN","TYPE","point"
"1880","44.4992450531342 40.2083334204681",50182,"","","supermarket/shop(food)",10
"1881","44.4991635759379 40.2084727561266",50183,"","","healthcare",10
"1882","44.4996901683575 40.2085279826377",50185,"Arbes","Arbes","healthcare",10
"1883","44.5011011521742 40.2054869587261",50191,"","","healthcare",10
"1884","44.5012416486847 40.2052666599694",50192,"????? ?????","Tashir Pizza","restaurant/cafe",6
"1885","44.5010337785279 40.2057150779859",50194,"","","supermarket/shop(food)",10
"1886","44.5009985645688 40.2057946622688",50195,"","Hagusti ashxarh","mall/shop(non-food)",14
"1887","44.5016208275661 40.2047862676099",50196,"Prometey bank","","bank/atm",10
"1888","44.5016096884566 40.2048004694894",50197,"hsbc","","bank/atm",10
"1889","44.5016912554844 40.2046979002928",50198,"","Alpha Pharm","healthcare",10
"1890","44.5017918667962 40.2046583819522",50199,"","","supermarket/shop(food)",10
"1891","44.5015809423675 40.2048306570495",50200,"???????","Yeritsyan","supermarket/shop(food)",10
"1892","44.5016002561461 40.2048154946631",50201,"","","mall/shop(non-food)",14
"1893","44.5021931442336 40.2045604093001",50202,"","","supermarket/shop(food)",10
"1894","44.502290791105 40.2045550578486",50203,"?????? ????","Ararat Bank","bank/atm",10
"1895","44.5024752152328 40.2044804805259",50204,"AcbaCrediteAgrecoileBank","","bank/atm",10
"1896","44.5007526956755 40.2061112146899",50205,"?????????","Genatsvale","restaurant/cafe",6
"1897","44.5008640867708 40.2059582900053",50208,"","","beauty_salon",4
"1898","44.5008370474807 40.2059995227604",50209,"","","healthcare",10
"1899","44.5011763411635 40.2063411156192",50211,"","","beauty_salon",4
"1900","44.5021776932107 40.2067867136781",50213,"","","supermarket/shop(food)",10
"1901","44.5023654411051 40.207177287058",50214,"","","beauty_salon",4
"1902","44.5040206768476 40.2047070937923",50216,"??-???","Yin-Yang","beauty_salon",4
"1903","44.5050287662595 40.2051061179144",50217,"Zhingyalov Hats","Zhingyalov Hats","restaurant/cafe",6
"1904","44.5045084620469 40.2055091875238",50218,"?????? ?????","""Berlin Optic""","healthcare",10
"1905","44.5051398878601 40.2057301715639",50220,"KFC","""KFC"" Komitas","restaurant/cafe",6
"1906","44.5055384703517 40.2057028659066",50221,"","","bus_stop",4
"1907","44.5055951540461 40.2058979158759",50222,"??? ?????","""VAK""","mall/shop(non-food)",14
"1908","44.5014408950147 40.209190971676",50227,"??????? ????????????? ???????","Arabkir Infanite Medical Center","healthcare",10
"1909","44.5034741418288 40.2074587756639",50230,"??????????? ???????","","supermarket/shop(food)",10
"1910","44.5037488466427 40.2085725754399",50234,"","","restaurant/cafe",6
"1911","44.5044745057292 40.2077406747317",50236,"??????????? ???????","","supermarket/shop(food)",10
"1912","44.5033835018166 40.2091032961385",50238,"","","restaurant/cafe",6
"1913","44.5034852809383 40.2092519603047",50239,"Coffee House Company","","restaurant/cafe",6
"1914","44.5036884798556 40.208865583723",50240,"","","restaurant/cafe",6
"1915","44.5036453607219 40.208992706801",50241,"","","restaurant/cafe",6
"1916","44.5033506234772 40.20947917505",50244,"????????","Armenia","restaurant/cafe",6
"1917","44.5043275413487 40.2095669187046",50247,"WayCupRAU","","restaurant/cafe",6
"1918","44.5071444784166 40.2015388988684",50254,"","","supermarket/shop(food)",10
"1919","44.5076928998976 40.2017780778123",50263,"","","supermarket/shop(food)",10
"1920","44.5106135025493 40.202150566805",50282,"","","supermarket/shop(food)",10
"1921","44.5105015724649 40.2025784223305",50283,"??? ?25","PSTN No25","mall/shop(non-food)",14
"1922","44.5101770111528 40.2044332779095",50289,"???????????? ??????","Afrikyanneri Pandok","restaurant/cafe",6
"1923","44.5125063426845 40.199548384112",50294,"""Cataleya Wellness Club""","","sport/fitness",4
