"","TYPE","point","lon","lat"
"1203","supermarket/shop(food)",10,44.5077062847953,40.1821987707983
"1204","supermarket/shop(food)",10,44.5077390733032,40.1822792062544
"1205","restaurant/cafe",6,44.5088402281785,40.1799267729299
"1206","bank/atm",10,44.5087575831723,40.1803879183323
"1207","mall/shop(non-food)",14,44.5089290715601,40.1802868907641
"1208","restaurant/cafe",6,44.5091472723426,40.1801775584505
"1209","restaurant/cafe",6,44.5092193172284,40.1801457127215
"1210","restaurant/cafe",6,44.5096226607909,40.1805175655823
"1211","state institutions/NGO",4,44.5095648092866,40.1805249092783
"1212","sport/fitness",4,44.5097716912966,40.1804470797868
"1213","restaurant/cafe",6,44.5098290038117,40.1804871612998
"1214","restaurant/cafe",6,44.508437064279,40.1812865903653
"1215","mall/shop(non-food)",14,44.5085670505006,40.1813900185578
"1216","bank/atm",10,44.5086604752901,40.1814723766606
"1217","healthcare",10,44.5083817280575,40.1817900034744
"1218","restaurant/cafe",6,44.50872982523,40.1815093005109
"1219","mall/shop(non-food)",14,44.5088538825708,40.1816101203642
"1220","mall/shop(non-food)",14,44.5086010966498,40.1820448999758
"1221","restaurant/cafe",6,44.5094560233057,40.1820158003698
"1222","bank/atm",10,44.5096081080833,40.1822238897308
"1223","restaurant/cafe",6,44.5109155161478,40.1814270110847
"1224","bank/atm",10,44.509891616387,40.182403359429
"1225","bank/atm",10,44.5112248959317,40.1774540769031
"1226","bank/atm",10,44.512125277341,40.1795464748916
"1227","restaurant/cafe",6,44.5124916103138,40.1786468189259
"1228","restaurant/cafe",6,44.5132141252968,40.1790470945515
"1229","restaurant/cafe",6,44.5133126704835,40.1791318576912
"1230","restaurant/cafe",6,44.5133905544186,40.1792346714626
"1231","cinema/theatre/museum",6,44.5136509760195,40.1791195035559
"1232","restaurant/cafe",6,44.5133341402188,40.1796727607065
"1233","sport/fitness",4,44.5136775661519,40.1794560156688
"1234","bank/atm",10,44.5135212592925,40.1796053625454
"1235","restaurant/cafe",6,44.5154653932304,40.1773034212087
"1236","state institutions/NGO",4,44.515772347563,40.1770789127173
"1237","playground/attraction",4,44.5165252256026,40.1771244871088
"1238","state institutions/NGO",4,44.5161131683818,40.1780439988288
"1239","cinema/theatre/museum",6,44.5138609123014,40.1785142854437
"1240","cinema/theatre/museum",6,44.5141565478614,40.1789819606985
"1241","cinema/theatre/museum",6,44.5144269407619,40.1788059136702
"1242","restaurant/cafe",6,44.5151362505103,40.1787928731315
"1243","restaurant/cafe",6,44.5151362505103,40.1787928731315
"1244","pub/bar",4,44.5150684277063,40.1788357009968
"1245","mall/shop(non-food)",14,44.5140828860081,40.1794801061109
"1246","restaurant/cafe",6,44.515434042027,40.1789539579269
"1247","bank/atm",10,44.5160610660953,40.1790013841828
"1248","bank/atm",10,44.5165179492488,40.1792762636383
