"","TYPE","point","lon","lat","cell"
"1448","bank/atm",10,44.515020098344,40.1892722653223,12
"1449","restaurant/cafe",6,44.5157021891393,40.1886081893677,12
"1450","bank/atm",10,44.5159312595367,40.1884653130257,12
"1451","restaurant/cafe",6,44.5156829651922,40.1887621139278,12
"1452","restaurant/cafe",6,44.5157606694643,40.1891293903791,12
"1453","restaurant/cafe",6,44.5157727967206,40.1892352084495,12
"1454","restaurant/cafe",6,44.5157727967206,40.1892352084495,12
"1455","restaurant/cafe",6,44.5160665458185,40.1892330811099,12
"1456","restaurant/cafe",6,44.5142545540589,40.189532898089,12
"1457","restaurant/cafe",6,44.5150300696437,40.1897343765502,12
"1458","restaurant/cafe",6,44.5151192723514,40.1901295086612,12
"1459","healthcare",10,44.5151476591144,40.1903598755213,12
"1460","restaurant/cafe",6,44.5158990998495,40.1894646862399,12
"1461","restaurant/cafe",6,44.5158280431106,40.1898707996372,12
"1462","restaurant/cafe",6,44.515865682521,40.1900018698497,12
"1463","restaurant/cafe",6,44.5158549027376,40.190157575443,12
"1464","healthcare",10,44.5158655926895,40.1902925566002,12
"1465","bus_stop",4,44.5112286688559,40.1910581767184,12
"1466","bus_stop",4,44.5113405091088,40.1912383092628,12
"1467","restaurant/cafe",6,44.5143316295103,40.1930673994905,12
"1468","restaurant/cafe",6,44.4956711956079,40.2002883758265,11
"1469","supermarket/shop(food)",10,44.4958764606503,40.2006678028454,11
"1470","bank/atm",10,44.4955803759326,40.2012027707509,11
"1471","bank/atm",10,44.4955992405536,40.201252857308,11
"1472","bank/atm",10,44.4953657684113,40.2016567731636,11
"1473","bus_stop",4,44.4960190232859,40.2015579042255,11
"1474","bank/atm",10,44.4962745041527,40.2015987966005,11
"1475","healthcare",10,44.4979856151059,40.2000660017892,11
"1476","healthcare",10,44.498653063362,40.1998307963674,11
"1477","healthcare",10,44.4986647414607,40.1997962153381,11
"1478","healthcare",10,44.4993133250958,40.1998167992862,11
"1479","School/kindergarten",7,44.4975191199788,40.201052167798,11
"1480","healthcare",10,44.4995506599939,40.2011860980942,11
"1481","bank/atm",10,44.4952361415158,40.201784321428,11
"1482","bank/atm",10,44.4954163435618,40.2017588666833,11
"1483","mall/shop(non-food)",14,44.495712697774,40.2018722122656,11
"1484","bus_stop",4,44.4960173164868,40.2018335156111,11
"1485","bank/atm",10,44.4963964055367,40.2021480968166,11
"1486","restaurant/cafe",6,44.4966459575227,40.2022351638541,11
"1487","restaurant/cafe",6,44.4970404975954,40.2018740647645,11
"1488","beauty_salon",4,44.4965315121555,40.2035441062028,11
"1489","bus_stop",4,44.4981779444082,40.202744870848,11
"1490","mall/shop(non-food)",14,44.498690972267,40.2025290914671,11
"1491","healthcare",10,44.4993146725687,40.2022375652287,11
"1492","bank/atm",10,44.4995961147472,40.2018547850516,11
"1493","supermarket/shop(food)",10,44.4990821885732,40.2025848717036,11
"1494","healthcare",10,44.4991916033748,40.2025681993868,11
"1495","supermarket/shop(food)",10,44.4991121024721,40.2026492967904,11
"1496","supermarket/shop(food)",10,44.4991121024721,40.2026492967904,18
"1497","bus_stop",4,44.4991908847226,40.2028497757424,11
"1498","healthcare",10,44.4981376100519,40.2032521726711,11
"1499","School/kindergarten",7,44.4983325444686,40.2037467780023,11
"1500","bank/atm",10,44.4988664132419,40.2031712818179,11
"1501","bank/atm",10,44.5008335440511,40.1994224097527,11
"1502","restaurant/cafe",6,44.5004373870108,40.2001532773391,11
"1503","bank/atm",10,44.5004946096944,40.2006704787247,11
"1504","supermarket/shop(food)",10,44.5014527527764,40.2010320645083,11
"1505","restaurant/cafe",6,44.501628463246,40.2010873656935,11
"1506","School/kindergarten",7,44.5029475494092,40.1998896664124,12
"1507","healthcare",10,44.5016210970607,40.2017651103008,11
"1508","healthcare",10,44.5005902802722,40.2033294957289,11
"1509","restaurant/cafe",6,44.5013455837631,40.2035701091521,11
"1510","healthcare",10,44.5015111432699,40.2031166684307,11
