"","TYPE","point","lon","lat","cell","districtName"
"328","bus_stop",4,44.4959744668478,40.1422924732825,8,"Shengavit"
"329","bus_stop",4,44.4947567106486,40.1427483120349,8,"Shengavit"
"331","supermarket/shop(food)",10,44.5105057945467,40.1436023662547,11,"Erebuni"
"332","supermarket/shop(food)",10,44.5145111129041,40.1390415634661,11,"Erebuni"
"333","supermarket/shop(food)",10,44.5162772905842,40.1387108943912,11,"Erebuni"
"334","supermarket/shop(food)",10,44.51652801038,40.1405903644014,11,"Erebuni"
"335","bus_stop",4,44.5115013075446,40.1426453743255,11,"Erebuni"
"337","supermarket/shop(food)",10,44.5143541772239,40.1425806175678,11,"Erebuni"
"338","bank/atm",10,44.5142616507497,40.1425898194862,11,"Erebuni"
"339","School/kindergarten",7,44.5161051733757,40.1424629839783,11,"Erebuni"
"341","mall/shop(non-food)",14,44.4818745101482,40.1444022984326,8,"Shengavit"
"342","supermarket/shop(food)",10,44.4807128986543,40.148859263745,8,"Shengavit"
"343","healthcare",10,44.4807058917951,40.1489514116977,8,"Shengavit"
"345","supermarket/shop(food)",10,44.4807509872224,40.1489260744564,8,"Shengavit"
"346","mall/shop(non-food)",14,44.481394719955,40.1476671655846,8,"Shengavit"
"347","restaurant/cafe",6,44.480912594142,40.1490446581575,8,"Shengavit"
"348","supermarket/shop(food)",10,44.4813180936612,40.1494913879484,8,"Shengavit"
"349","healthcare",10,44.4751705628459,40.1502317197215,8,"Shengavit"
"350","supermarket/shop(food)",10,44.474649180655,40.1514493838303,8,"Shengavit"
"351","supermarket/shop(food)",10,44.4748026129055,40.151544755382,8,"Shengavit"
"352","supermarket/shop(food)",10,44.4744655650109,40.151816656263,8,"Shengavit"
"353","supermarket/shop(food)",10,44.4745735425081,40.1518056017282,8,"Shengavit"
"354","supermarket/shop(food)",10,44.4745505456368,40.1518410998242,8,"Shengavit"
"356","School/kindergarten",7,44.4777170171818,40.1496287159134,8,"Shengavit"
"357","supermarket/shop(food)",10,44.4775408575546,40.1508674702731,8,"Shengavit"
"358","School/kindergarten",7,44.4767570774692,40.1514794578114,8,"Shengavit"
"359","supermarket/shop(food)",10,44.4757878851091,40.1522596601142,8,"Shengavit"
"360","supermarket/shop(food)",10,44.476079927408,40.1522221023983,8,"Shengavit"
"361","mall/shop(non-food)",14,44.4775957446184,40.1509905823123,8,"Shengavit"
"362","supermarket/shop(food)",10,44.4777499853527,40.1509456083361,8,"Shengavit"
"363","supermarket/shop(food)",10,44.4779134787344,40.1509728673756,8,"Shengavit"
"364","healthcare",10,44.4737186158522,40.1523586009082,8,"Shengavit"
"365","healthcare",10,44.4745967190424,40.1523433581304,8,"Shengavit"
